"row ID","Map","Team A Rounds","Team B Rounds","Kills","Assists","Deaths","Mvp's","Points","Result"
"Row731","Inferno",15,15,9,4,23,2,27,"Tie"
"Row732","Inferno",16,3,7,8,12,1,25,"Win"
"Row733","Mirage",16,2,6,2,18,0,18,"Lost"
"Row734","Inferno",7,16,10,2,15,1,26,"Win"
"Row735","Inferno",16,12,15,4,21,1,36,"Lost"
"Row736","Inferno",16,12,13,6,21,2,39,"Win"
"Row737","Mirage",7,16,17,5,18,2,49,"Win"
"Row738","Dust II",16,9,12,6,19,3,39,"Lost"
"Row739","Inferno",16,4,10,0,17,0,23,"Lost"
"Row740","Dust II",16,6,15,3,10,3,40,"Win"
"Row741","Mirage",9,16,8,4,16,0,28,"Win"
"Row742","Dust II",16,4,10,4,11,3,28,"Win"
"Row743","Mirage",16,5,9,3,17,2,25,"Lost"
"Row744","Dust II",16,8,22,5,13,2,52,"Win"
"Row745","Inferno",15,15,14,6,25,0,37,"Tie"
"Row746","Mirage",2,16,1,2,10,0,4,"Lost"
"Row747","Inferno",16,10,11,9,18,2,35,"Win"
"Row748","Mirage",7,16,20,2,19,1,50,"Lost"
"Row749","Dust II",8,16,19,4,14,7,51,"Win"
"Row750","Cache",16,3,15,5,6,2,38,"Win"
"Row751","Cobblestone",11,16,21,3,22,3,54,"Lost"
"Row752","Dust II",3,16,22,2,10,2,51,"Win"
"Row753","Inferno",16,6,10,4,13,1,27,"Win"
"Row754","Inferno",16,11,17,5,23,2,45,"Lost"
"Row755","Mirage",8,16,16,1,14,4,47,"Win"
"Row756","Inferno",9,16,10,2,12,1,33,"Win"
"Row757","Dust II",15,15,13,4,25,1,39,"Tie"
"Row758","Mirage",16,4,11,1,20,0,27,"Lost"
"Row759","Mirage",3,16,16,2,9,3,49,"Win"
"Row760","Inferno",16,11,16,4,23,1,42,"Lost"
"Row761","Dust II",7,16,15,2,18,0,32,"Lost"
"Row762","Mirage",16,1,5,5,17,0,15,"Lost"
"Row763","Mirage",5,16,5,2,17,0,12,"Lost"
"Row764","Mirage",16,7,8,4,16,2,28,"Win"
"Row765","Mirage",16,8,16,2,18,1,43,"Lost"
"Row766","Mirage",16,6,9,0,8,0,21,"Win"
"Row767","Mirage",15,15,21,1,22,3,48,"Tie"
"Row768","Mirage",12,16,11,3,25,1,29,"Lost"
"Row769","Mirage",14,16,27,6,20,2,71,"Lost"
"Row770","Cobblestone",16,13,16,1,23,3,40,"Lost"
"Row771","Mirage",16,7,11,2,13,2,28,"Win"
"Row772","Dust II",11,16,12,0,21,2,33,"Lost"
"Row773","Mirage",16,11,11,3,25,1,31,"Lost"
"Row774","Cache",11,16,11,4,17,0,36,"Win"
"Row775","Dust II",11,13,6,5,15,1,19,"Lost"
"Row776","Mirage",16,6,6,2,17,1,27,"Lost"
"Row777","Cache",15,15,13,3,24,1,40,"Tie"
